Latitude,Longitude,Code
51.3833,-2.3588,QOX
52.135,-0.4687,QHG
52.4862,-1.8904,QHL
51.4545,-2.5879,QUY
51.7544,-1.2619,QU9
52.2053,0.1218,QUE
53.4084,-2.9916,QYG
50.266,-5.0527,QT6
52.4066,-1.5122,QWU
54.9784,-1.6174,QHM
50.715,-3.53,QJK
50.7184,-2.4375,QVV
51.5074,-0.1278,QMF
51.2798,-0.7634,QNQ
51.8642,-2.2382,QR1
53.4808,-2.2426,QOP
50.9097,-1.4044,QRL
53.7632,-2.7031,QE1
52.194,-2.2216,QGH
51.7677,-0.2049,QM7
53.7676,-0.3274,QOQ
52.9225,-1.4746,QJ2
51.2802,1.0775,QKS
52.6369,-1.1398,QK1
53.2307,-0.5406,QJM
51.545,0.7079,QH8
52.6309,1.2974,QMM
51.5074,-0.1278,QMJ
51.5074,-0.1278,QRV
52.2405,-0.9027,QPM
52.9548,-1.1581,QT1
51.5074,-0.1278,QKK
52.676,-2.4493,QOC
51.0443,-2.7154,QSL
51.5074,-0.1278,QWE
53.3811,-1.4701,QF7
52.9248,-2.2,QNC
51.895,1.1236,QJG
51.2323,-0.5627,QXU
50.8225,-0.1372,QNX
52.5175,-2.0183,QUA
53.8008,-1.5491,QWO
