,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,Code,System,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,962.00",350.00,"10,833.00","29,145.00","10,564.00",350.00,"10,461.00","21,375.00","7,398.00",0.00,372.00,"7,770.00",0.73,0.59,1.00,0.97,"6,060.00",0.00,14.00,"6,074.00","3,914.00","9,988.00","1,835.00",163.00
,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","23,745.00",0.00,"17,771.00","41,516.00","14,151.00",0.00,"17,612.00","31,763.00","9,594.00",0.00,159.00,"9,753.00",0.77,0.60,-,0.99,"6,644.00",0.00,0.00,"6,644.00","2,533.00","9,177.00",839.00,22.00
,QHL,NHS Birmingham And Solihull Integrated Care Board,"37,747.00",307.00,"16,513.00","54,567.00","23,052.00",307.00,"16,495.00","39,854.00","14,695.00",0.00,18.00,"14,713.00",0.73,0.61,1.00,1.00,"11,551.00",0.00,0.00,"11,551.00","6,253.00","17,804.00","4,346.00","2,234.00"
,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","24,088.00","2,307.00","8,358.00","34,753.00","15,452.00","2,192.00","7,820.00","25,464.00","8,636.00",115.00,538.00,"9,289.00",0.73,0.64,0.95,0.94,"7,943.00",12.00,0.00,"7,955.00","3,393.00","11,348.00","2,536.00",674.00
,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","34,676.00","5,392.00","13,455.00","53,523.00","22,240.00","5,375.00","12,905.00","40,520.00","12,436.00",17.00,550.00,"13,003.00",0.76,0.64,1.00,0.96,"10,392.00",950.00,61.00,"11,403.00","7,110.00","18,513.00","1,995.00",265.00
,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"24,138.00",0.00,"11,419.00","35,557.00","12,658.00",0.00,"10,655.00","23,313.00","11,480.00",0.00,764.00,"12,244.00",0.66,0.52,-,0.93,"5,998.00",0.00,176.00,"6,174.00","1,945.00","8,119.00","2,462.00","1,466.00"
,QYG,NHS Cheshire And Merseyside Integrated Care Board,"69,722.00","3,058.00","45,803.00","118,583.00","38,618.00","2,737.00","44,126.00","85,481.00","31,104.00",321.00,"1,677.00","33,102.00",0.72,0.55,0.90,0.96,"22,156.00",98.00,0.00,"22,254.00","8,094.00","30,348.00","9,142.00","3,779.00"
,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,105.00",0.00,"11,367.00","17,472.00","2,959.00",0.00,"10,851.00","13,810.00","3,146.00",0.00,516.00,"3,662.00",0.79,0.48,-,0.95,"2,190.00",0.00,61.00,"2,251.00","1,120.00","3,371.00",917.00,371.00
,QWU,NHS Coventry And Warwickshire Integrated Care Board,"26,159.00","1,904.00","10,023.00","38,086.00","16,556.00","1,838.00","9,736.00","28,130.00","9,603.00",66.00,287.00,"9,956.00",0.74,0.63,0.97,0.97,"6,139.00",106.00,93.00,"6,338.00","2,429.00","8,767.00","1,423.00",361.00
,QHM,NHS North East And North Cumbria Integrated Care Board,"72,136.00","3,007.00","62,954.00","138,097.00","41,396.00","2,810.00","62,144.00","106,350.00","30,740.00",197.00,810.00,"31,747.00",0.77,0.57,0.93,0.99,"24,562.00",45.00,719.00,"25,326.00","12,253.00","37,579.00","6,549.00",744.00
,QJK,NHS Devon Integrated Care Board,"27,634.00",669.00,"13,614.00","41,917.00","15,320.00",624.00,"13,176.00","29,120.00","12,314.00",45.00,438.00,"12,797.00",0.69,0.55,0.93,0.97,"8,551.00",0.00,0.00,"8,551.00","4,297.00","12,848.00","2,484.00",781.00
,QVV,NHS Dorset Integrated Care Board,"17,301.00",0.00,"8,784.00","26,085.00","10,494.00",0.00,"8,779.00","19,273.00","6,807.00",0.00,5.00,"6,812.00",0.74,0.61,-,1.00,"5,858.00",4.00,1.00,"5,863.00","2,852.00","8,715.00","1,188.00",155.00
,QMF,NHS North East London Integrated Care Board,"46,560.00","3,341.00","35,922.00","85,823.00","27,879.00","2,933.00","32,724.00","63,536.00","18,681.00",408.00,"3,198.00","22,287.00",0.74,0.60,0.88,0.91,"14,239.00",0.00,0.00,"14,239.00","2,122.00","16,361.00","3,658.00","1,899.00"
,QNQ,NHS Frimley Integrated Care Board,"21,666.00",990.00,"12,046.00","34,702.00","12,873.00",989.00,"11,967.00","25,829.00","8,793.00",1.00,79.00,"8,873.00",0.74,0.59,1.00,0.99,"5,878.00",0.00,0.00,"5,878.00",272.00,"6,150.00","2,387.00",181.00
,QR1,NHS Gloucestershire Integrated Care Board,"12,540.00",0.00,"7,264.00","19,804.00","7,378.00",0.00,"7,232.00","14,610.00","5,162.00",0.00,32.00,"5,194.00",0.74,0.59,-,1.00,"2,669.00",0.00,0.00,"2,669.00","1,899.00","4,568.00","1,167.00",859.00
,QOP,NHS Greater Manchester Integrated Care Board,"81,829.00","3,725.00","34,287.00","119,841.00","44,627.00","3,620.00","32,860.00","81,107.00","37,202.00",105.00,"1,427.00","38,734.00",0.68,0.55,0.97,0.96,"21,516.00",170.00,747.00,"22,433.00","5,815.00","28,248.00","10,671.00","2,983.00"
,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"38,981.00","2,303.00","23,943.00","65,227.00","23,081.00","2,229.00","23,183.00","48,493.00","15,900.00",74.00,760.00,"16,734.00",0.74,0.59,0.97,0.97,"12,440.00",19.00,1.00,"12,460.00","5,535.00","17,995.00","2,792.00",114.00
