,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,Code,System,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","18,067.00",334.00,"10,968.00","29,369.00","11,066.00",334.00,"10,792.00","22,192.00","7,001.00",0.00,176.00,"7,177.00",0.76,0.61,1.00,0.98,"6,176.00",0.00,7.00,"6,183.00","3,581.00","9,764.00","1,558.00",17.00
,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","23,653.00",0.00,"14,598.00","38,251.00","14,916.00",0.00,"14,548.00","29,464.00","8,737.00",0.00,50.00,"8,787.00",0.77,0.63,-,1.00,"6,489.00",0.00,0.00,"6,489.00","2,641.00","9,130.00",469.00,3.00
,QHL,NHS Birmingham And Solihull Integrated Care Board,"35,251.00",363.00,"15,769.00","51,383.00","23,067.00",363.00,"15,734.00","39,164.00","12,184.00",0.00,35.00,"12,219.00",0.76,0.65,1.00,1.00,"12,502.00",0.00,0.00,"12,502.00","5,342.00","17,844.00","4,350.00","1,600.00"
,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","22,998.00","2,323.00","8,542.00","33,863.00","15,313.00","2,226.00","8,203.00","25,742.00","7,685.00",97.00,339.00,"8,121.00",0.76,0.67,0.96,0.96,"7,657.00",10.00,0.00,"7,667.00","3,210.00","10,877.00","1,623.00",165.00
,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","33,415.00","5,202.00","12,377.00","50,994.00","23,108.00","5,189.00","11,935.00","40,232.00","10,307.00",13.00,442.00,"10,762.00",0.79,0.69,1.00,0.96,"10,683.00",892.00,60.00,"11,635.00","6,525.00","18,160.00","1,450.00",114.00
,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"24,197.00",0.00,"10,767.00","34,964.00","14,887.00",0.00,"10,597.00","25,484.00","9,310.00",0.00,170.00,"9,480.00",0.73,0.62,-,0.98,"6,257.00",0.00,88.00,"6,345.00","1,703.00","8,048.00","2,003.00",804.00
,QYG,NHS Cheshire And Merseyside Integrated Care Board,"65,058.00","3,200.00","45,392.00","113,650.00","36,713.00","2,977.00","44,749.00","84,439.00","28,345.00",223.00,643.00,"29,211.00",0.74,0.56,0.93,0.99,"21,223.00",100.00,0.00,"21,323.00","7,740.00","29,063.00","8,307.00","3,382.00"
,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,978.00",0.00,"13,933.00","20,911.00","2,872.00",0.00,"12,827.00","15,699.00","4,106.00",0.00,"1,106.00","5,212.00",0.75,0.41,-,0.92,"2,357.00",0.00,102.00,"2,459.00","1,430.00","3,889.00","1,066.00",375.00
,QWU,NHS Coventry And Warwickshire Integrated Care Board,"24,771.00",816.00,"7,862.00","33,449.00","15,083.00",648.00,"7,700.00","23,431.00","9,688.00",168.00,162.00,"10,018.00",0.70,0.61,0.79,0.98,"4,947.00",30.00,158.00,"5,135.00","1,527.00","6,662.00",925.00,85.00
,QHM,NHS North East And North Cumbria Integrated Care Board,"68,906.00","2,866.00","62,157.00","133,929.00","42,757.00","2,772.00","61,563.00","107,092.00","26,149.00",94.00,594.00,"26,837.00",0.80,0.62,0.97,0.99,"23,482.00",37.00,672.00,"24,191.00","9,637.00","33,828.00","4,708.00",405.00
,QJK,NHS Devon Integrated Care Board,"29,788.00",144.00,"15,312.00","45,244.00","16,878.00",144.00,"15,052.00","32,074.00","12,910.00",0.00,260.00,"13,170.00",0.71,0.57,1.00,0.98,"9,034.00",0.00,0.00,"9,034.00","4,438.00","13,472.00","2,279.00",348.00
,QVV,NHS Dorset Integrated Care Board,"18,177.00",0.00,"9,601.00","27,778.00","11,801.00",0.00,"9,587.00","21,388.00","6,376.00",0.00,14.00,"6,390.00",0.77,0.65,-,1.00,"6,102.00",6.00,0.00,"6,108.00","2,740.00","8,848.00",785.00,76.00
,QMF,NHS North East London Integrated Care Board,"45,097.00","3,103.00","31,943.00","80,143.00","27,920.00","2,822.00","30,837.00","61,579.00","17,177.00",281.00,"1,106.00","18,564.00",0.77,0.62,0.91,0.97,"13,816.00",0.00,0.00,"13,816.00","1,867.00","15,683.00","3,615.00","1,569.00"
,QNQ,NHS Frimley Integrated Care Board,"21,240.00","1,000.00","10,368.00","32,608.00","12,857.00","1,000.00","10,327.00","24,184.00","8,383.00",0.00,41.00,"8,424.00",0.74,0.61,1.00,1.00,"5,446.00",0.00,0.00,"5,446.00",262.00,"5,708.00","2,267.00",95.00
,QR1,NHS Gloucestershire Integrated Care Board,"12,595.00",0.00,"7,996.00","20,591.00","7,922.00",0.00,"7,967.00","15,889.00","4,673.00",0.00,29.00,"4,702.00",0.77,0.63,-,1.00,"2,569.00",0.00,0.00,"2,569.00","1,989.00","4,558.00",980.00,394.00
,QOP,NHS Greater Manchester Integrated Care Board,"77,975.00","3,385.00","31,643.00","113,003.00","45,683.00","3,326.00","30,656.00","79,665.00","32,292.00",59.00,987.00,"33,338.00",0.70,0.59,0.98,0.97,"21,007.00",166.00,668.00,"21,841.00","5,328.00","27,169.00","11,480.00","1,488.00"
,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"38,481.00","2,431.00","22,653.00","63,565.00","22,513.00","2,311.00","22,415.00","47,239.00","15,968.00",120.00,238.00,"16,326.00",0.74,0.59,0.95,0.99,"12,439.00",18.00,38.00,"12,495.00","5,531.00","18,026.00","2,277.00",79.00
,QE1,NHS Lancashire And South Cumbria Integrated Care Board,"41,813.00",0.00,"30,229.00","72,042.00","26,821.00",0.00,"29,600.00","56,421.00","14,992.00",0.00,629.00,"15,621.00",0.78,0.64,-,0.98,"12,721.00",0.00,196.00,"12,917.00","4,601.00","17,518.00","4,711.00","1,834.00"
,QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,571.00","1,104.00","6,226.00","25,901.00","10,212.00","1,104.00","6,222.00","17,538.00","8,359.00",0.00,4.00,"8,363.00",0.68,0.55,1.00,1.00,"5,128.00",0.00,0.00,"5,128.00","1,548.00","6,676.00","1,758.00",576.00
,QM7,NHS Hertfordshire And West Essex Integrated Care Board,"23,968.00",0.00,"19,919.00","43,887.00","13,982.00",0.00,"19,644.00","33,626.00","9,986.00",0.00,275.00,"10,261.00",0.77,0.58,-,0.99,"9,383.00",0.00,99.00,"9,482.00","1,225.00","10,707.00","1,252.00",120.00
,QOQ,NHS Humber And North Yorkshire Integrated Care Board,"33,201.00",359.00,"29,342.00","62,902.00","17,282.00",359.00,"28,496.00","46,137.00","15,919.00",0.00,846.00,"16,765.00",0.73,0.52,1.00,0.97,"14,054.00",0.00,0.00,"14,054.00","3,891.00","17,945.00","4,114.00","1,265.00"
,QJ2,NHS Derby And Derbyshire Integrated Care Board,"26,730.00",0.00,"19,940.00","46,670.00","15,398.00",0.00,"19,768.00","35,166.00","11,332.00",0.00,172.00,"11,504.00",0.75,0.58,-,0.99,"6,706.00",0.00,276.00,"6,982.00","3,044.00","10,026.00","2,280.00",696.00
,QKS,NHS Kent And Medway Integrated Care Board,"47,748.00",0.00,"45,948.00","93,696.00","34,014.00",0.00,"45,235.00","79,249.00","13,734.00",0.00,713.00,"14,447.00",0.85,0.71,-,0.98,"12,497.00",0.00,637.00,"13,134.00","2,387.00","15,521.00","3,871.00","1,667.00"
,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","20,272.00","1,837.00","12,793.00","34,902.00","12,045.00","1,835.00","12,779.00","26,659.00","8,227.00",2.00,14.00,"8,243.00",0.76,0.59,1.00,1.00,"5,941.00",2.00,0.00,"5,943.00","3,262.00","9,205.00","2,198.00",662.00
,QJM,NHS Lincolnshire Integrated Care Board,"9,359.00",0.00,"18,894.00","28,253.00","3,263.00",0.00,"17,550.00","20,813.00","6,096.00",0.00,"1,344.00","7,440.00",0.74,0.35,-,0.93,"4,105.00",0.00,0.00,"4,105.00","1,102.00","5,207.00","1,878.00",732.00
,QH8,NHS Mid And South Essex Integrated Care Board,"28,010.00",0.00,"5,633.00","33,643.00","19,371.00",0.00,"5,523.00","24,894.00","8,639.00",0.00,110.00,"8,749.00",0.74,0.69,-,0.98,"8,820.00",0.00,217.00,"9,037.00","1,156.00","10,193.00","2,830.00",12.00
,QMM,NHS Norfolk And Waveney Integrated Care Board,"26,396.00",0.00,"11,523.00","37,919.00","17,204.00",0.00,"11,522.00","28,726.00","9,192.00",0.00,1.00,"9,193.00",0.76,0.65,-,1.00,"6,353.00",0.00,0.00,"6,353.00","2,132.00","8,485.00","1,824.00",401.00
,QMJ,NHS North Central London Integrated Care Board,"45,303.00","6,128.00","13,396.00","64,827.00","30,638.00","6,021.00","12,896.00","49,555.00","14,665.00",107.00,500.00,"15,272.00",0.76,0.68,0.98,0.96,"7,613.00",1.00,148.00,"7,762.00","1,203.00","8,965.00","3,267.00","1,422.00"
,QRV,NHS North West London Integrated Care Board,"46,919.00","3,847.00","44,237.00","95,003.00","29,682.00","3,802.00","43,686.00","77,170.00","17,237.00",45.00,551.00,"17,833.00",0.81,0.63,0.99,0.99,"15,416.00",1.00,0.00,"15,417.00","2,053.00","17,470.00","2,406.00",532.00
,QPM,NHS Northamptonshire Integrated Care Board,"20,007.00",584.00,"10,247.00","30,838.00","13,263.00",571.00,"10,180.00","24,014.00","6,744.00",13.00,67.00,"6,824.00",0.78,0.66,0.98,0.99,"3,899.00",0.00,0.00,"3,899.00","1,366.00","5,265.00","2,608.00",721.00
,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"25,040.00","1,762.00","10,559.00","37,361.00","15,670.00","1,688.00","10,378.00","27,736.00","9,370.00",74.00,181.00,"9,625.00",0.74,0.63,0.96,0.98,"7,763.00",0.00,0.00,"7,763.00","4,002.00","11,765.00","1,178.00",257.00
,QKK,NHS South East London Integrated Care Board,"37,363.00",755.00,"36,720.00","74,838.00","21,510.00",726.00,"35,150.00","57,386.00","15,853.00",29.00,"1,570.00","17,452.00",0.77,0.58,0.96,0.96,"8,901.00",0.00,0.00,"8,901.00","2,084.00","10,985.00","3,198.00",787.00
,QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,059.00",0.00,"5,605.00","15,664.00","4,745.00",0.00,"5,426.00","10,171.00","5,314.00",0.00,179.00,"5,493.00",0.65,0.47,-,0.97,"3,126.00",0.00,155.00,"3,281.00","1,847.00","5,128.00","1,136.00",546.00
,QSL,NHS Somerset Integrated Care Board,"12,836.00",0.00,"9,361.00","22,197.00","8,022.00",0.00,"9,220.00","17,242.00","4,814.00",0.00,141.00,"4,955.00",0.78,0.62,-,0.98,"3,088.00",0.00,0.00,"3,088.00","2,011.00","5,099.00",360.00,38.00
