,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,Code,System,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","19,172.00",309.00,"10,548.00","30,029.00","10,515.00",309.00,"10,094.00","20,918.00","8,657.00",0.00,454.00,"9,111.00",0.70,0.55,1.00,0.96,"6,436.00",0.00,8.00,"6,444.00","4,007.00","10,451.00","2,193.00",445.00
,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","25,892.00",0.00,"20,875.00","46,767.00","13,764.00",0.00,"20,337.00","34,101.00","12,128.00",0.00,538.00,"12,666.00",0.73,0.53,-,0.97,"7,142.00",0.00,0.00,"7,142.00","2,738.00","9,880.00","1,079.00",82.00
,QHL,NHS Birmingham And Solihull Integrated Care Board,"41,427.00",318.00,"18,349.00","60,094.00","23,792.00",318.00,"18,322.00","42,432.00","17,635.00",0.00,27.00,"17,662.00",0.71,0.57,1.00,1.00,"11,604.00",0.00,0.00,"11,604.00","6,873.00","18,477.00","4,879.00","1,938.00"
,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","24,489.00","2,126.00","8,046.00","34,661.00","14,234.00","2,001.00","7,623.00","23,858.00","10,255.00",125.00,423.00,"10,803.00",0.69,0.58,0.94,0.95,"8,266.00",9.00,0.00,"8,275.00","3,642.00","11,917.00","2,937.00","1,047.00"
,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","36,982.00","4,815.00","14,204.00","56,001.00","21,070.00","4,805.00","13,508.00","39,383.00","15,912.00",10.00,696.00,"16,618.00",0.70,0.57,1.00,0.95,"11,159.00",869.00,46.00,"12,074.00","6,738.00","18,812.00","2,418.00",281.00
,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"26,850.00",0.00,"10,556.00","37,406.00","13,896.00",0.00,"10,148.00","24,044.00","12,954.00",0.00,408.00,"13,362.00",0.64,0.52,-,0.96,"6,709.00",0.00,56.00,"6,765.00","2,143.00","8,908.00","2,512.00","1,316.00"
,QYG,NHS Cheshire And Merseyside Integrated Care Board,"71,205.00","3,037.00","49,064.00","123,306.00","37,966.00","2,836.00","47,237.00","88,039.00","33,239.00",201.00,"1,827.00","35,267.00",0.71,0.53,0.93,0.96,"22,237.00",91.00,0.00,"22,328.00","7,887.00","30,215.00","9,744.00","4,737.00"
,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,184.00",0.00,"10,870.00","17,054.00","3,103.00",0.00,"10,054.00","13,157.00","3,081.00",0.00,816.00,"3,897.00",0.77,0.50,-,0.92,"2,421.00",0.00,53.00,"2,474.00","1,346.00","3,820.00","1,065.00",468.00
,QWU,NHS Coventry And Warwickshire Integrated Care Board,"28,521.00","1,110.00","8,120.00","37,751.00","16,076.00",988.00,"7,574.00","24,638.00","12,445.00",122.00,546.00,"13,113.00",0.65,0.56,0.89,0.93,"5,407.00",33.00,105.00,"5,545.00","1,435.00","6,980.00","1,585.00",508.00
,QHM,NHS North East And North Cumbria Integrated Care Board,"77,636.00","2,497.00","67,781.00","147,914.00","40,658.00","2,413.00","66,552.00","109,623.00","36,978.00",84.00,"1,229.00","38,291.00",0.74,0.52,0.97,0.98,"26,020.00",38.00,717.00,"26,775.00","11,086.00","37,861.00","8,308.00",683.00
,QJK,NHS Devon Integrated Care Board,"29,962.00",123.00,"13,470.00","43,555.00","15,188.00",122.00,"13,152.00","28,462.00","14,774.00",1.00,318.00,"15,093.00",0.65,0.51,0.99,0.98,"9,214.00",0.00,0.00,"9,214.00","4,699.00","13,913.00","3,472.00",842.00
,QVV,NHS Dorset Integrated Care Board,"17,910.00",0.00,"9,001.00","26,911.00","9,199.00",0.00,"8,988.00","18,187.00","8,711.00",0.00,13.00,"8,724.00",0.68,0.51,-,1.00,"6,019.00",6.00,1.00,"6,026.00","2,895.00","8,921.00","1,860.00",441.00
