,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,Code,System,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","17,580.00",326.00,"9,745.00","27,651.00","10,125.00",326.00,"9,622.00","20,073.00","7,455.00",0.00,123.00,"7,578.00",0.73,0.58,1.00,0.99,"6,201.00",0.00,6.00,"6,207.00","4,257.00","10,464.00","2,449.00",721.00
,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","23,900.00",0.00,"17,907.00","41,807.00","13,236.00",0.00,"17,671.00","30,907.00","10,664.00",0.00,236.00,"10,900.00",0.74,0.55,-,0.99,"6,983.00",0.00,0.00,"6,983.00","2,783.00","9,766.00","1,130.00",22.00
,QHL,NHS Birmingham And Solihull Integrated Care Board,"37,798.00",325.00,"17,263.00","55,386.00","23,301.00",325.00,"17,222.00","40,848.00","14,497.00",0.00,41.00,"14,538.00",0.74,0.62,1.00,1.00,"11,478.00",0.00,0.00,"11,478.00","7,037.00","18,515.00","4,529.00","1,858.00"
,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","22,828.00","2,376.00","8,056.00","33,260.00","13,921.00","2,199.00","7,678.00","23,798.00","8,907.00",177.00,378.00,"9,462.00",0.72,0.61,0.93,0.95,"8,012.00",10.00,0.00,"8,022.00","4,068.00","12,090.00","2,899.00","1,454.00"
,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","35,251.00","5,412.00","15,096.00","55,759.00","22,372.00","5,394.00","14,543.00","42,309.00","12,879.00",18.00,553.00,"13,450.00",0.76,0.63,1.00,0.96,"11,310.00",988.00,59.00,"12,357.00","7,408.00","19,765.00","2,627.00",359.00
,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"24,650.00",0.00,"10,282.00","34,932.00","13,826.00",0.00,"10,089.00","23,915.00","10,824.00",0.00,193.00,"11,017.00",0.68,0.56,-,0.98,"6,454.00",0.00,81.00,"6,535.00","2,172.00","8,707.00","2,633.00","1,529.00"
,QYG,NHS Cheshire And Merseyside Integrated Care Board,"66,859.00","3,295.00","46,608.00","116,762.00","36,438.00","3,116.00","45,596.00","85,150.00","30,421.00",179.00,"1,012.00","31,612.00",0.73,0.54,0.95,0.98,"21,307.00",89.00,0.00,"21,396.00","8,455.00","29,851.00","9,938.00","5,598.00"
,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,987.00",0.00,"10,682.00","16,669.00","2,756.00",0.00,"10,025.00","12,781.00","3,231.00",0.00,657.00,"3,888.00",0.77,0.46,-,0.94,"2,492.00",0.00,58.00,"2,550.00","1,292.00","3,842.00","1,323.00",545.00
,QWU,NHS Coventry And Warwickshire Integrated Care Board,"25,857.00","1,525.00","7,985.00","35,367.00","15,458.00","1,374.00","7,782.00","24,614.00","10,399.00",151.00,203.00,"10,753.00",0.70,0.60,0.90,0.97,"5,150.00",40.00,75.00,"5,265.00","1,656.00","6,921.00","1,518.00",376.00
