,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,Code,System,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","19,253.00",382.00,"11,365.00","31,000.00","11,814.00",382.00,"11,006.00","23,202.00","7,439.00",0.00,359.00,"7,798.00",0.75,0.61,1.00,0.97,"6,431.00",0.00,7.00,"6,438.00","4,018.00","10,456.00","1,580.00",11.00
,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","25,476.00",0.00,"16,975.00","42,451.00","15,951.00",0.00,"16,863.00","32,814.00","9,525.00",0.00,112.00,"9,637.00",0.77,0.63,-,0.99,"6,836.00",0.00,0.00,"6,836.00","2,445.00","9,281.00",457.00,4.00
,QHL,NHS Birmingham And Solihull Integrated Care Board,"39,312.00",377.00,"16,341.00","56,030.00","24,977.00",377.00,"16,265.00","41,619.00","14,335.00",0.00,76.00,"14,411.00",0.74,0.64,1.00,1.00,"12,737.00",0.00,0.00,"12,737.00","6,435.00","19,172.00","4,556.00","1,665.00"
,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","24,188.00","2,339.00","9,184.00","35,711.00","16,213.00","2,206.00","8,632.00","27,051.00","7,975.00",133.00,552.00,"8,660.00",0.76,0.67,0.94,0.94,"7,759.00",8.00,0.00,"7,767.00","3,528.00","11,295.00","2,027.00",271.00
,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","36,537.00","5,762.00","13,930.00","56,229.00","24,815.00","5,735.00","13,293.00","43,843.00","11,722.00",27.00,637.00,"12,386.00",0.78,0.68,1.00,0.95,"10,927.00","1,021.00",59.00,"12,007.00","7,411.00","19,418.00","1,558.00",232.00
,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"25,308.00",0.00,"12,053.00","37,361.00","15,057.00",0.00,"11,754.00","26,811.00","10,251.00",0.00,299.00,"10,550.00",0.72,0.59,-,0.98,"6,460.00",0.00,105.00,"6,565.00","1,966.00","8,531.00","2,289.00","1,243.00"
,QYG,NHS Cheshire And Merseyside Integrated Care Board,"70,758.00","3,406.00","48,868.00","123,032.00","40,281.00","3,244.00","47,972.00","91,497.00","30,477.00",162.00,896.00,"31,535.00",0.74,0.57,0.95,0.98,"22,013.00",118.00,0.00,"22,131.00","8,740.00","30,871.00","8,857.00","3,814.00"
,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,708.00",0.00,"13,834.00","20,542.00","2,830.00",0.00,"12,972.00","15,802.00","3,878.00",0.00,862.00,"4,740.00",0.77,0.42,-,0.94,"2,287.00",0.00,59.00,"2,346.00","1,542.00","3,888.00","1,089.00",510.00
,QWU,NHS Coventry And Warwickshire Integrated Care Board,"27,027.00",841.00,"8,487.00","36,355.00","16,729.00",634.00,"8,140.00","25,503.00","10,298.00",207.00,347.00,"10,852.00",0.70,0.62,0.75,0.96,"4,982.00",55.00,103.00,"5,140.00","1,435.00","6,575.00","1,004.00",151.00
,QHM,NHS North East And North Cumbria Integrated Care Board,"74,955.00","3,103.00","66,295.00","144,353.00","44,168.00","2,988.00","65,506.00","112,662.00","30,787.00",115.00,789.00,"31,691.00",0.78,0.59,0.96,0.99,"25,088.00",43.00,743.00,"25,874.00","10,611.00","36,485.00","5,534.00",461.00
,QJK,NHS Devon Integrated Care Board,"30,482.00",131.00,"15,175.00","45,788.00","16,872.00",131.00,"14,793.00","31,796.00","13,610.00",0.00,382.00,"13,992.00",0.69,0.55,1.00,0.97,"9,305.00",0.00,0.00,"9,305.00","4,706.00","14,011.00","2,402.00",621.00
,QVV,NHS Dorset Integrated Care Board,"18,513.00",0.00,"8,786.00","27,299.00","11,441.00",0.00,"8,782.00","20,223.00","7,072.00",0.00,4.00,"7,076.00",0.74,0.62,-,1.00,"6,130.00",5.00,0.00,"6,135.00","2,927.00","9,062.00","1,284.00",165.00
,QMF,NHS North East London Integrated Care Board,"49,536.00","3,448.00","37,106.00","90,090.00","31,662.00","3,069.00","34,944.00","69,675.00","17,874.00",379.00,"2,162.00","20,415.00",0.77,0.64,0.89,0.94,"14,254.00",0.00,0.00,"14,254.00","1,809.00","16,063.00","3,644.00","1,518.00"
,QNQ,NHS Frimley Integrated Care Board,"23,320.00","1,081.00","11,275.00","35,676.00","13,769.00","1,079.00","11,106.00","25,954.00","9,551.00",2.00,169.00,"9,722.00",0.73,0.59,1.00,0.99,"6,076.00",0.00,0.00,"6,076.00",314.00,"6,390.00","2,398.00",131.00
,QR1,NHS Gloucestershire Integrated Care Board,"12,841.00",0.00,"8,234.00","21,075.00","8,097.00",0.00,"8,219.00","16,316.00","4,744.00",0.00,15.00,"4,759.00",0.77,0.63,-,1.00,"2,805.00",0.00,0.00,"2,805.00","2,073.00","4,878.00",901.00,456.00
,QOP,NHS Greater Manchester Integrated Care Board,"86,870.00","3,713.00","35,565.00","126,148.00","48,686.00","3,593.00","34,210.00","86,489.00","38,184.00",120.00,"1,355.00","39,659.00",0.69,0.56,0.97,0.96,"21,843.00",159.00,726.00,"22,728.00","5,672.00","28,400.00","11,452.00","2,388.00"
,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"40,701.00","2,269.00","23,396.00","66,366.00","24,722.00","2,163.00","22,961.00","49,846.00","15,979.00",106.00,435.00,"16,520.00",0.75,0.61,0.95,0.98,"12,730.00",19.00,29.00,"12,778.00","5,686.00","18,464.00","2,571.00",123.00
,QE1,NHS Lancashire And South Cumbria Integrated Care Board,"44,736.00",0.00,"32,087.00","76,823.00","28,919.00",0.00,"31,254.00","60,173.00","15,817.00",0.00,833.00,"16,650.00",0.78,0.65,-,0.97,"13,018.00",0.00,213.00,"13,231.00","5,361.00","18,592.00","5,048.00","2,245.00"
