,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,Code,System,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","19,549.00",319.00,"12,141.00","32,009.00","11,669.00",319.00,"11,571.00","23,559.00","7,880.00",0.00,570.00,"8,450.00",0.74,0.60,1.00,0.95,"6,510.00",0.00,13.00,"6,523.00","4,072.00","10,595.00","1,733.00",121.00
,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","25,956.00",0.00,"18,788.00","44,744.00","15,726.00",0.00,"18,520.00","34,246.00","10,230.00",0.00,268.00,"10,498.00",0.77,0.61,-,0.99,"6,767.00",0.00,0.00,"6,767.00","2,766.00","9,533.00",604.00,27.00
,QHL,NHS Birmingham And Solihull Integrated Care Board,"40,933.00",384.00,"17,755.00","59,072.00","24,280.00",384.00,"17,736.00","42,400.00","16,653.00",0.00,19.00,"16,672.00",0.72,0.59,1.00,1.00,"12,045.00",0.00,0.00,"12,045.00","6,100.00","18,145.00","4,551.00","2,196.00"
,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","25,599.00","2,411.00","9,036.00","37,046.00","16,218.00","2,245.00","8,307.00","26,770.00","9,381.00",166.00,729.00,"10,276.00",0.72,0.63,0.93,0.92,"8,191.00",9.00,0.00,"8,200.00","3,490.00","11,690.00","2,500.00",538.00
,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","37,598.00","5,355.00","14,714.00","57,667.00","24,485.00","5,323.00","13,985.00","43,793.00","13,113.00",32.00,729.00,"13,874.00",0.76,0.65,0.99,0.95,"11,154.00",953.00,63.00,"12,170.00","7,506.00","19,676.00","1,895.00",149.00
,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"25,420.00",0.00,"12,542.00","37,962.00","13,553.00",0.00,"11,734.00","25,287.00","11,867.00",0.00,808.00,"12,675.00",0.67,0.53,-,0.94,"6,331.00",0.00,146.00,"6,477.00","2,060.00","8,537.00","2,443.00","1,419.00"
,QYG,NHS Cheshire And Merseyside Integrated Care Board,"75,370.00","3,327.00","50,116.00","128,813.00","40,395.00","2,987.00","48,215.00","91,597.00","34,975.00",340.00,"1,901.00","37,216.00",0.71,0.54,0.90,0.96,"23,000.00",130.00,0.00,"23,130.00","8,401.00","31,531.00","10,139.00","4,612.00"
,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"6,719.00",0.00,"13,370.00","20,089.00","2,678.00",0.00,"12,588.00","15,266.00","4,041.00",0.00,782.00,"4,823.00",0.76,0.40,-,0.94,"2,250.00",0.00,56.00,"2,306.00","1,290.00","3,596.00",982.00,476.00
,QWU,NHS Coventry And Warwickshire Integrated Care Board,"28,059.00","1,831.00","10,275.00","40,165.00","17,517.00","1,750.00","9,926.00","29,193.00","10,542.00",81.00,349.00,"10,972.00",0.73,0.62,0.96,0.97,"6,382.00",111.00,85.00,"6,578.00","2,601.00","9,179.00","1,410.00",183.00
,QHM,NHS North East And North Cumbria Integrated Care Board,"77,348.00","2,932.00","69,379.00","149,659.00","44,178.00","2,711.00","68,229.00","115,118.00","33,170.00",221.00,"1,150.00","34,541.00",0.77,0.57,0.92,0.98,"26,326.00",40.00,718.00,"27,084.00","11,830.00","38,914.00","6,427.00",717.00
,QJK,NHS Devon Integrated Care Board,"30,599.00",138.00,"15,334.00","46,071.00","17,263.00",138.00,"14,905.00","32,306.00","13,336.00",0.00,429.00,"13,765.00",0.70,0.56,1.00,0.97,"9,282.00",0.00,0.00,"9,282.00","4,751.00","14,033.00","3,046.00",762.00
,QVV,NHS Dorset Integrated Care Board,"18,707.00",0.00,"10,099.00","28,806.00","11,463.00",0.00,"10,091.00","21,554.00","7,244.00",0.00,8.00,"7,252.00",0.75,0.61,-,1.00,"6,072.00",4.00,4.00,"6,080.00","3,128.00","9,208.00","1,398.00",218.00
,QMF,NHS North East London Integrated Care Board,"50,089.00","3,390.00","38,669.00","92,148.00","29,690.00","2,958.00","36,330.00","68,978.00","20,399.00",432.00,"2,339.00","23,170.00",0.75,0.59,0.87,0.94,"15,073.00",0.00,0.00,"15,073.00","2,072.00","17,145.00","3,912.00","1,790.00"
