,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,Code,System,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board","18,809.00",299.00,"10,206.00","29,314.00","10,604.00",299.00,"9,779.00","20,682.00","8,205.00",0.00,427.00,"8,632.00",0.71,0.56,1.00,0.96,"6,215.00",0.00,7.00,"6,222.00","4,122.00","10,344.00","2,220.00",389.00
,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board","25,650.00",0.00,"18,296.00","43,946.00","15,128.00",0.00,"18,082.00","33,210.00","10,522.00",0.00,214.00,"10,736.00",0.76,0.59,-,0.99,"7,095.00",0.00,0.00,"7,095.00","2,593.00","9,688.00",833.00,36.00
,QHL,NHS Birmingham And Solihull Integrated Care Board,"41,579.00",307.00,"17,880.00","59,766.00","23,709.00",307.00,"17,814.00","41,830.00","17,870.00",0.00,66.00,"17,936.00",0.70,0.57,1.00,1.00,"11,561.00",0.00,0.00,"11,561.00","7,216.00","18,777.00","4,382.00","1,905.00"
,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board","25,526.00","2,334.00","8,260.00","36,120.00","15,012.00","2,173.00","7,774.00","24,959.00","10,514.00",161.00,486.00,"11,161.00",0.69,0.59,0.93,0.94,"8,439.00",14.00,0.00,"8,453.00","3,529.00","11,982.00","2,906.00","1,056.00"
,QU9,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board","37,086.00","5,179.00","14,460.00","56,725.00","22,027.00","5,164.00","13,751.00","40,942.00","15,059.00",15.00,709.00,"15,783.00",0.72,0.59,1.00,0.95,"11,149.00",880.00,47.00,"12,076.00","6,734.00","18,810.00","2,113.00",265.00
,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,"26,394.00",0.00,"10,498.00","36,892.00","14,185.00",0.00,"10,081.00","24,266.00","12,209.00",0.00,417.00,"12,626.00",0.66,0.54,-,0.96,"6,473.00",0.00,91.00,"6,564.00","2,210.00","8,774.00","2,415.00","1,336.00"
,QYG,NHS Cheshire And Merseyside Integrated Care Board,"69,751.00","3,147.00","49,122.00","122,020.00","37,472.00","2,937.00","47,914.00","88,323.00","32,279.00",210.00,"1,208.00","33,697.00",0.72,0.54,0.93,0.98,"21,563.00",96.00,0.00,"21,659.00","8,140.00","29,799.00","8,815.00","4,022.00"
,QT6,NHS Cornwall And The Isles Of Scilly Integrated Care Board,"5,764.00",0.00,"10,707.00","16,471.00","2,717.00",0.00,"10,042.00","12,759.00","3,047.00",0.00,665.00,"3,712.00",0.77,0.47,-,0.94,"2,314.00",0.00,98.00,"2,412.00","1,376.00","3,788.00","1,186.00",607.00
,QWU,NHS Coventry And Warwickshire Integrated Care Board,"28,491.00",860.00,"8,370.00","37,721.00","16,686.00",766.00,"7,822.00","25,274.00","11,805.00",94.00,548.00,"12,447.00",0.67,0.59,0.89,0.93,"5,321.00",41.00,141.00,"5,503.00","1,535.00","7,038.00","1,428.00",212.00
